S.No,Museum/Attraction
1,Chennai Rail Museum
2,Government Museum
3,Fort Museum
4,B M Birla Planetarium
5,Click Art Museum
6,National Art Gallery
7,Vivekananda House - Multimedia Cultural Museum
8,The Gem'z
9,The Faraway Tree Gallery
10,Live Art Museum
11,Dr MGR Memorial House
12,Thol Isai Kalanjiyam
13,Dr. Arun's Photography And Vintage Camera Museum
14,Subramanya Bharathi Museum
15,M.Rm.Rm. Cultural Foundation
16,Art Houz
17,Focus Art Gallery
18,Gurubaran Tanjore Art Gallery
19,DakshinaChitra
20,Ayya Art Gallery
21,Art World Gallery
22,LIOA Art Gallery
23,Tamilnadu Science and Technology Centres
24,Ethnic Tanjore Arts
25,Vinyasa Art Gallery
26,Achalam Art Gallery
27,Children Museum
28,RuKmini Devi Museum
29,Live Art Museum
30,Ambur House Art Gallery
