id,name,category,address,area,city,state,zip,country,phone,email,url,latitude,longitude,rating,rating_count,main_deity,facebook,instagram,linkedin,twitter,whatsapp,youtube,tiktok,source_file,has_coordinates
REL00001,Srirangam Srimath Andavan Ashramam,Ashrams,"NO: 31, DESIKACHARI ROAD, MYLAPORE,Mylapore, Behind Anjaneyar Koil, Alwarpet, Chennai, Tamil Nadu 600004, India",,Chennai,Tamil Nadu,600004,India,+91 44 2499 3658,info@andavan.org,http://andavan.org/,13.037317,80.258268,4.6,616,,https://www.facebook.com/andavanashramam/,https://www.instagram.com/andavan.ashramam/,,https://twitter.com/andavanashramam,,https://www.youtube.com/channel/UCKUQEMd9ZkGp1C82NQGySug,,sample-data-Ashrams.csv,True
REL00002,Sri Ramakrishna Math Chennai,Ashrams,"31, Ramakrishna Mutt Rd, Alamelu Manga Puram, Sankarapuram, Mylapore, Chennai, Tamil Nadu 600004, India",,Chennai,Tamil Nadu,600004,India,+91 44 2462 1110,mail@chennaimath.org,https://chennaimath.org/,13.031068,80.267508,4.8,514,,https://www.facebook.com/ramakrishnamath,https://www.instagram.com/ramakrishnamath/,,https://twitter.com/ramakrishnamath,,https://www.youtube.com/user/chennaimath,,sample-data-Ashrams.csv,True
REL00003,Sri Swami Chidbhavnanda Ashramam,Ashrams,"37MC+38F, Chatrapatti Road, Vedapuri, Theni, Tamil Nadu 625531, India",,Chennai,Tamil Nadu,625531,India,+91 4546 253 908,swamiomkarananda@gmail.com,http://vedaneri.org/,13.082691,80.270787,3.5,6,,https://www.facebook.com/vedaneri/,,,,,https://www.youtube.com/channel/UCnpgt-vD7stQAllAL5PRjXg/playlists,,sample-data-Ashrams.csv,True
REL00004,Sree Agam Ashram,Ashrams,"747, 3rd St, Judges Colony, S.Kolathur, Kovilambakkam, Chennai, Tamil Nadu 600117, India",,Chennai,Tamil Nadu,600117,India,+91 94898 89848,services@sreeagamashram.com,http://sreeagamashram.com/,12.949841,80.197287,0.0,0,,,,,,,,,sample-data-Ashrams.csv,True
REL00005,Sai Baba Gurukulam,Ashrams,"X4VQ+3XF, 2nd St, Mookambikai Nagar, Police Commissioner Colony, Pozhichalur, Chennai, Madanandapuram, Tamil Nadu 600074, India",,Chennai,Tamil Nadu,600074,India,+91 98400 60698,saibabagurukulam94@gmail.com,http://www.saibabagurukulam.com/,12.992694,80.139923,4.4,188,,,,,,,,,sample-data-Ashrams.csv,True
REL00006,"Sri Sarada Math, Chennai",Ashrams,"7, Raghaviah Road, Chennai, Tamil Nadu 600017, India",,Chennai,Tamil Nadu,600017,India,+91 44 2815 7837,saradamath@gmail.com,http://www.srisaradamath.org/chennai.php,13.043635,80.235477,4.7,35,,,,,,,,,sample-data-Ashrams.csv,True
REL00007,Ramaswamy Anbil,Ashrams,"Deccan Nest, 13, 12, CBI Colony Main Rd, Chennai, Tamil Nadu 600096, India",,Chennai,Tamil Nadu,600096,India,+91 97910 65020,ramanbil@hotmail.com,https://www.anbilramaswamy.org/about.html,12.966862,80.245134,0.0,0,,,,,,,,,sample-data-Ashrams.csv,True
REL00008,Sridatta Vasudhaiva KuṭUmbakaṃ,Ashrams,"C/o. Thiruvadi Seva Social Welfare Trust 'Gau Mata Sadan', Old # 48, New 97, 1st Floor Prakasam Salai, Broad Way, Alwarpet, Chennai, Tamil Nadu 600018, India",,Chennai,Tamil Nadu,600018,India,+91 98408 66238,,,13.035841,80.25094,0.0,0,,,,,,,,,sample-data-Ashrams.csv,True
REL00009,Brama Suthrakulu Raja Yoga Padasalai,Ashrams,"16B, Officers Colony, Ayanavaram, Chennai, Tamil Nadu 600023, India",,Chennai,Tamil Nadu,600023,India,+91 81222 79790,,,13.100077,80.230502,0.0,0,,,,,,,,,sample-data-Ashrams.csv,True
REL00010,Thirumayilai Sivagnana Nataraja Swamigal Ashramam,Ashrams,"Thirumayilai Sivagnana Nataraja Swamigal Ashramam, No.4, Chelliamman colony, Peravallore,, Chennai, Tamil Nadu 600082, India",,Chennai,Tamil Nadu,600082,India,+91 5178 621 518,,http://www.gnanayogamargam.com/,13.11967,80.226636,4.9,9,,,,,,,,,sample-data-Ashrams.csv,True
REL00011,குபேர பாபா..ஆத்ம லிங்க சித்தர் பீடம்,Gurudwaras,"7354+2M7, Adhigaara Nandhi Nagar, Tamil Nadu 606604, India",,Tiruvannamalai,Tamil Nadu,606604,India,,jhohumm@gmail.com,http://www.yaasha.in/,12.257624,79.05678,0.0,0,,https://www.facebook.com/jhohummm,,,,,https://www.youtube.com/channel/UCuDq3JSwRUJmFlf8czo-FNw,,sample-data-Gurudwaras.csv,True
REL00012,Gurudwara Sahib,Gurudwaras,"44F2+CRX, Bhaktavatsala Puram, Avadi, Tamil Nadu 600054, India",,Poonamalle,Tamil Nadu,600054,India,+91 281 447 7360,,,13.123615,80.102114,4.6,17,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00013,Gurudwara Sahib Shri Guru Nanak Sat Sangh Sabha,Gurudwaras,"127A, Gopathi Narayanaswami Chetty Rd, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017, India",,Chennai,Tamil Nadu,600017,India,+91 44 2834 3509,,,13.050253,80.246364,4.8,1506,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00014,Sri Guru Nanak Dham Gurudwara Sahib,Gurudwaras,"78Q6+2PX, Rameswaram, Tamil Nadu 623526, India",,Rameswaram,Tamil Nadu,623526,India,+91 4573 221 073,,,9.287613,79.311847,4.6,150,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00015,Gurudwara Sahib,Gurudwaras,"Sahib, Gandhi Rd, Mittanemili, Chennai, Avadi, Tamil Nadu 600055, India",,Poonamalle,Tamil Nadu,600055,India,+91 11 2336 5486,,,13.151578,80.069811,4.6,60,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00016,Gurdwara Bhagalpur,Gurudwaras,"V2Q6+9MP, Coimbatore, Tamil Nadu 641032, India",,Coimbatore,Tamil Nadu,641032,India,,,,10.888469,77.011705,0.0,0,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00017,பத்திரகாளி அம்மன் கோவில்,Gurudwaras,"66M, USILAMPATTI, Palamedu, Mettupatti, Tamil Nadu 625503, India",,Chennai,Tamil Nadu,625503,India,,,,10.11975,78.134096,0.0,0,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00018,Kumar,Gurudwaras,"1038, Keezhakondayampettai 1st St, Srinivasan Nagar, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620006, India",,Tiruchirappalli,Tamil Nadu,620006,India,,,,10.855038,78.710518,0.0,0,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00019,Ucp. Deepan,Gurudwaras,"82FH+52 K.K kuchu, Uchipuli, Enmanamkondan, Tamil Nadu 623534, India",,Ramanathapuram,Tamil Nadu,623534,India,,,,9.322905,79.027625,5.0,1,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00020,Basill,Gurudwaras,"CWV7+345, Sathankulam, Tamil Nadu 628704, India",,Sathankulam,Tamil Nadu,628704,India,,,,8.442631,77.912867,0.0,0,,,,,,,,,sample-data-Gurudwaras.csv,True
REL00021,"Sri Jain Gujarati Wadi Bhavan, Bhidbhanjan Parshvanath Temple",Jain Temples,"99, Mint St, Trevelyan Basin, George Town, Chennai, Tamil Nadu 600001, India",,Chennai,Tamil Nadu,600001,India,+91 44 2529 1374,,,13.095808,80.280076,4.4,174,,,,,,,,,sample-data-Jain_temples.csv,True
REL00022,Sri Matru Pitru Smruthi Sri Sheetalnath-24 Thirthanker Jinalaya,Jain Temples,"75, Basin Bridge Rd, Basin Bridge, Railway Colony, Old Washermanpet, Chennai, Tamil Nadu 600021, India",,Chennai,Tamil Nadu,600021,India,+91 44 4853 5406,,,13.105224,80.27693,4.9,28,,,,,,,,,sample-data-Jain_temples.csv,True
REL00023,Jain Sanskar Vatika,Jain Temples,"138/66, Salama Purasawalkam, Perumal 1avenue Ave, Salama Nagar, Purasaiwakkam, Chennai, Tamil Nadu 600084, India",,Chennai,Tamil Nadu,600084,India,+91 89397 87948,,,13.087389,80.254914,4.5,4,,,,,,,,,sample-data-Jain_temples.csv,True
REL00024,Bhagawan Mahaveer Digambar Jain Temple,Jain Temples,"Bus Terminus, Vinyagar Kovil Street, New Colony Main Street, Near, Saidapet, Chennai, Tamil Nadu 600015, India",,Chennai,Tamil Nadu,600015,India,+91 98410 55783,,,13.023238,80.214315,4.5,49,,,,,,,,,sample-data-Jain_temples.csv,True
REL00025,1008 Sri Aadhinath Mahaveer Digambarar Jain Temple,Jain Temples,"127, Pillaiyar Koil St, Kolapakkam, Chennai, Tamil Nadu 600122, India",,Chennai,Tamil Nadu,600122,India,+91 98849 09599,,,13.011345,80.149117,4.9,18,,,,,,,,,sample-data-Jain_temples.csv,True
REL00026,Chandrapuri Chandraprabh Jain Temple,Jain Temples,"141, Anna Pillai St, Sowcarpet, Trevelyan Basin, George Town, Chennai, Tamil Nadu 600001, India",,Chennai,Tamil Nadu,600001,India,+91 44 2346 3104,,,13.093674,80.281622,4.6,198,,,,,,,,,sample-data-Jain_temples.csv,True
REL00027,Seth Kaluram Ratanlal Maloo Jain Bhavan,Jain Temples,"30, Venkatachalam St, Periyamedu, Choolai, Chennai, Tamil Nadu 600112, India",,Chennai,Tamil Nadu,600112,India,+91 44 2538 4748,,,13.088124,80.267079,4.2,353,,,,,,,,,sample-data-Jain_temples.csv,True
REL00028,Shri Jain Bhavan,Jain Temples,"No 2, 1st Lane, Portuguese Church Street, Thayapa, Seven Wells North, George Town, Chennai, Tamil Nadu 600001, India",,Chennai,Tamil Nadu,600001,India,+91 44 2526 4466,,http://jain.org.in/jainbhavans.html,13.101561,80.283981,4.4,5,,,,,,,,,sample-data-Jain_temples.csv,True
REL00029,Shree Shantinath Jain Shwetambar Temple,Jain Temples,"26WV+G6J, Gopathi Narayanaswami Chetty Road, T Nagar, Gopathi Narayanaswami Chetty Rd, T. Nagar, Chennai, Tamil Nadu 600017, India",,Chennai,Tamil Nadu,600017,India,+91 44 2815 1779,,,13.046331,80.243016,4.7,263,,,,,,,,,sample-data-Jain_temples.csv,True
REL00030,Chandraprabhu Digambar Jain Temple,Jain Temples,"34, Subramaniam St, Maskan Chavadi, Seven Wells South, George Town, Chennai, Tamil Nadu 600001, India",,Chennai,Tamil Nadu,600001,India,+91 44 2524 2319,,,13.097298,80.280787,4.5,106,,,,,,,,,sample-data-Jain_temples.csv,True
REL00031,Preston College Masjid Bilal,Mosques,"27P3+46W, Kavignar Bharathidasan Rd, Seetammal Colony, Seethammal Colony, Lubdhi Colony, Alwarpet, Chennai, Tamil Nadu 600018, India",,Chennai,Tamil Nadu,600018,India,+91 44 2435 3113,info@prestonchennai.ac.in,https://www.prestonchennai.ac.in/infrastructure/,13.035366,80.253081,4.7,250,,https://www.facebook.com/Preston-International-College-215135201846661/,https://www.instagram.com/prestoninternationalcollege/?hl=en,,,,https://www.youtube.com/c/PrestonInternationalCollege,,sample-data-Mosques.csv,True
REL00032,The New College Mosque,Mosques,"3735+8QQ, Peter's Rd, Peters Colony, Royapettah, Chennai, Tamil Nadu 600014, India",,Chennai,Tamil Nadu,600014,India,+91 44 2835 1269,thenewcollege600014@gmail.com,https://thenewcollege.edu.in/mosque.php,13.053334,80.259479,4.9,495,,https://www.facebook.com/newcollege1951/,https://instagram.com/the.newcollege?igshid=nnrhlqw4y121,https://www.linkedin.com/school/thenewcollege/,,,https://www.youtube.com/channel/UCJvRu_5iaYYF9kzYIIzU2mg,,sample-data-Mosques.csv,True
REL00033,Masjid-E-Kaleel,Mosques,"473G+9VC, Munniappa Street, Peddu Street, near Mint Bus Stand, Kondithope, Chennai, Tamil Nadu 600079, India",,Chennai,Tamil Nadu,600079,India,+91 94443 10312,.....mtj313@msn.com,http://masjeed.blogspot.in/,13.10343,80.277143,3.6,19,,https://www.facebook.com/MuslimsHistoryandCivilization,,,,,,,sample-data-Mosques.csv,True
REL00034,Anjuman-E-Himayath-E-Islam Masjid,Mosques,"Shop No: 16, B.N Reddy Road, off Vijaya Raghava Road, Lakshimi Colony, T. Nagar, Chennai, Tamil Nadu 600017, India",,Chennai,Tamil Nadu,600017,India,+91 44 4901 4555,gskmasud@gmail.com,http://www.anjhimayath.com/,13.043783,80.244998,4.7,1015,,https://www.facebook.com/pages/Anjhimayath/285117974961451,,http://in.linkedin.com/pub/anjuman-himayath/78/659/448/,https://twitter.com/anjhimayath,,http://www.youtube.com/channel/UCvhiB4ljfBcq98oJty7DHqw/discussion,,sample-data-Mosques.csv,True
REL00035,Masjidul Huda,Mosques,"37WR+64J, Linghi Chetty Street, Mannadi, George Town, Chennai, Tamil Nadu 600001, India",,Chennai,Tamil Nadu,600001,India,+91 44 2524 7866,muftiomar@gmail.com,http://www.darulhuda.net/,13.095596,80.290252,4.5,10,,https://www.facebook.com/Darul-Huda-Publication-134202593299656/,,,https://twitter.com/home?status=http://www.darulhuda.net/sermons/%e0%ae%87%e0%ae%b8%e0%af%8d%e0%ae%b2%e0%ae%be%e0%ae%ae%e0%ae%bf%e0%ae%af%e0%ae%95%e0%af%8d-%e0%ae%95%e0%af%8a%e0%ae%b3%e0%af%8d%e0%ae%95%e0%af%88-%e0%ae%9a%e0%ae%bf%e0%ae%b1%e0%ae%aa%e0%af%8,,https://www.youtube.com/darulhudanet,,sample-data-Mosques.csv,True
REL00036,Masjid E Farkhunda,Mosques,"1/3, Mosque St, Minakshi Ammanpet, Royapuram, Chennai, Tamil Nadu 600013, India",,Chennai,Tamil Nadu,600013,India,+91 44 2590 4936,qjm313@hotmail.com,http://masjid-construction.blogspot.in/,13.10764,80.29044,4.6,54,,,,,,,,,sample-data-Mosques.csv,True
REL00037,Royapuram Jamia Masjid,Mosques,"23A/18, Andiappan Gramini St, Pudumanaikuppam, Royapuram, Chennai, Tamil Nadu 600013, India",,Chennai,Tamil Nadu,600013,India,,qjm313@hotmail.com,http://masjid-construction.blogspot.in/,13.108821,80.293866,4.7,107,,,,,,,,,sample-data-Mosques.csv,True
REL00038,Masjidhun Noor,Mosques,"32-A, 6th St, Mosque Colony, Maduvinkarai, Guindy, Chennai, Ramapuram, Tamil Nadu 600032, India",,Chennai,Tamil Nadu,600032,India,,mssait68@gmail.com,http://www.masjidhunnoor.com/,12.999162,80.208908,4.6,140,,https://www.facebook.com/masjidhunnoorchennai,,,,,,,sample-data-Mosques.csv,True
REL00039,Anjuman E Mohammedi Masjid,Mosques,"35-39, Rangadoss Colony, Janakiraman Colony, Villivakkam, Chennai, Tamil Nadu 600049, India",,Chennai,Tamil Nadu,600049,India,,anjumanvillivakkam@gmail.com,https://anjumanmasjid.org/,13.116607,80.207965,4.7,96,,,,,,,,,sample-data-Mosques.csv,True
REL00040,Masjid E Noor,Mosques,"66, Narayana Mudali Street, Sowcarpet, George Town, Chennai, Tamil Nadu 600001, India",,Chennai,Tamil Nadu,600001,India,,mssait68@gmail.com,http://www.masjidhunnoor.com/,13.090652,80.27962,4.7,66,,https://www.facebook.com/masjidhunnoorchennai,,,,,,,sample-data-Mosques.csv,True
REL00041,Our Saviour Church,Christian Churches,"OSC CHURCH, No. 35, 3rd west OSC church street, Chendurpuram, Indira Nagar, Kattupakkam, Chennai, Tamil Nadu 600056, India",,Chennai,Tamil Nadu,600056,India,+91 72994 67435,osclinen@gmail.com,https://www.oscchennai.org/,13.03705,80.122809,4.8,13,,http://www.facebook.com/OSC-LINEN-Ministries-115114420188699,https://www.instagram.com/osc_linen_ministries/,http://www.linkedin.com/in/OSCLinenMinistries,https://mobile.twitter.com/osclinen,,https://www.youtube.com/channel/UCAe6ZlLMbehw0ZhBD3c-TBg,,sample-data-Christian_churches.csv,True
REL00042,Divine Delight Church,Christian Churches,"J Block, 30, 6th St, Padi Pudur Nagar, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600050, India",,Chennai,Tamil Nadu,600050,India,+91 99406 28398,norahsabel@gmail.com,http://divinedelightchurch.com/,13.084575,80.189422,5.0,9,,https://www.facebook.com/divinedelightchurch,https://instagram.com/divine_delight_church_?igshid=NTc4MTIwNjQ2YQ==,,,,,,sample-data-Christian_churches.csv,True
REL00043,World Harvest Church,Christian Churches,"2743+PCW, Gandhi Nagar 1st Main Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020, India",,Chennai,Tamil Nadu,600020,India,+91 95660 72270,info@whcmy.com,http://www.whcmy.com/,13.006874,80.253583,4.7,13,,https://www.facebook.com/whcmy/,//instagram.com/whcmy,,,,https://www.youtube.com/channel/UCv-UxUPl1Z2BBSPRMvHHVAg/featured,,sample-data-Christian_churches.csv,True
REL00044,Apostolic Faith Church,Christian Churches,"No:375 3rd Street Velachery, West, Dr.Ambedkar Nagar, Adambakkam, Chennai, Tamil Nadu 600088, India",,Chennai,Tamil Nadu,600088,India,+91 94443 42860,afmiindia@gmail.com,http://apostolicfaith.in/,12.991451,80.207994,4.9,7,,https://www.facebook.com/sharer.php?u=http://apostolicfaith.in/%e0%ae%ae%e0%af%81%e0%ae%a4%e0%ae%b2%e0%af%8d-%e0%ae%85%e0%ae%b1%e0%af%8d%e0%ae%aa%e0%af%81%e0%ae%a4%e0%ae%ae%e0%af%8d-faith-time/,,,http://twitter.com/share?url=http://apostolicfaith.in/%e0%ae%ae%e0%af%81%e0%ae%a4%e0%ae%b2%e0%af%8d-%e0%ae%85%e0%ae%b1%e0%af%8d%e0%ae%aa%e0%af%81%e0%ae%a4%e0%ae%ae%e0%af%8d-faith-time/&text=%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AF%8D%20%E0%AE%85%E0%AE%B,,https://www.youtube.com/watch?v=R2CdymOmv_U,,sample-data-Christian_churches.csv,True
REL00045,"Maranatha Full Gospel Church,Royapuram",Christian Churches,"475W+X45, N Madha Church St, Panaimarathotti, Pudumanaikuppam, Royapuram, Chennai, Tamil Nadu 600013, India",,Chennai,Tamil Nadu,600013,India,+91 90031 38164,info@maranatha-royapuram.com,http://www.maranatha-royapuram.com/,13.109898,80.295348,4.2,6,,https://www.facebook.com/maranatharoyapuram/,,,,,https://www.youtube.com/channel/UCW8wBSxDUDTD0d3jx7HpwTQ,,sample-data-Christian_churches.csv,True
REL00046,Echo Of His Call Ministries,Christian Churches,"Mohammed Abdullah 2nd Street, Chepauk, ---, Bells Rd, Triplicane, Chennai, Tamil Nadu 600005, India",,Chennai,Tamil Nadu,600005,India,+91 44 2852 8282,echosamselvaraj@gmail.com,http://www.echoofhiscall.org/,13.064586,80.277784,4.4,10,,,,,,,,,sample-data-Christian_churches.csv,True
REL00047,Okkiyampet Christian Brethren Assembly,Christian Churches,"5/232, Madha Koil St, Vivekananda Nagar, Thoraipakkam, Tamil Nadu 600097, India",,Chennai,Tamil Nadu,600097,India,+91 98415 50467,cbftrust2017@gmail.com,http://www.cbftrust.com/,12.925296,80.233064,4.6,9,,,,,,,,,sample-data-Christian_churches.csv,True
REL00048,Living Christian Faith Assembly,Christian Churches,"58, Melpatti Ponnappan St, Kakkanji Colony, Chinnaiyan Colony, Perambur, Chennai, Tamil Nadu 600039, India",,Chennai,Tamil Nadu,600039,India,+91 94443 83713,support@chennai.com,http://chennai.com/,13.115254,80.248074,4.7,14,,,,,,,,,sample-data-Christian_churches.csv,True
REL00049,Elim Glorious Revival Church,Christian Churches,"363J+756, Railway Border Rd, Taylor Estate, Kodambakkam, Chennai, Tamil Nadu 600024, India",,Chennai,Tamil Nadu,600024,India,+91 99628 39052,support@elimgrc.com,http://appamonline.com/,13.053157,80.230402,4.9,140,,,,,,https://wa.me/+919962839052,https://www.youtube.com/user/ElimGRC/featured,,sample-data-Christian_churches.csv,True
REL00050,"The Salvation Army Central Corps, Choolai.",Christian Churches,"21, GF, Thiru Narayana Guru Rd, Choolai, Chennai, Tamil Nadu 600112, India",,Chennai,Tamil Nadu,600112,India,,ict.mail@ict.salvationarmy.org,https://www.salvationarmy.org/india/central,13.08775,80.260209,4.2,22,,,,,https://twitter.com/TSA_IND,,http://www.youtube.com/user/TheSAIndia,,sample-data-Christian_churches.csv,True
REL00051,"Kapaleeswarar Temple, Mylapore",Hindu Temples,"Kapaleeswarar Temple, Mylapore, Chennai - 600004",Mylapore,Chennai,Tamil Nadu,600004,India,,,,,,,0,Shiva,,,,,,,,temple.csv,False
