Name,Category,Area,Address,Rating,Gallery_ID,Gallery_Name,Ownership,S.No,Venue / Organisation,Venue Type,Main Activities,Theatre_Name,Location,Zone,Type,Screen_Count,Chain_Operator,Cultural Centre / Institution,Main Cultural Activities,Management / Organisation,City / Metro Area,Status
Chennai Trade Centre - Nandambakkam,Exhibition & Trade Centre,Nandambakkam,"Nandambakkam, Chennai 600089",4.5,,,,,,,,,,,,,,,,,,
Chennai Trade Centre New Building,Exhibition Hall,Nandambakkam,"Karumariamman Koil St, Nandambakkam, Chennai 600089",4.5,,,,,,,,,,,,,,,,,,
Chennai Convention Centre,Convention & Exhibition Centre,Nandambakkam,"CTC Complex, Nandambakkam, Chennai 600089",4.5,,,,,,,,,,,,,,,,,,
Chennai Convention Centre,Exhibition & Trade Centre,Ramapuram,"Ramapuram, Nandambakkam, Chennai 600089",4.5,,,,,,,,,,,,,,,,,,
CTC Hall 2,Exhibition Hall,Nandambakkam,"CTC Complex, Nandambakkam, Chennai 600089",4.3,,,,,,,,,,,,,,,,,,
Tamil Nadu Trade Promotion Organisation (TTPO),Trade Promotion Organisation,Nandambakkam,"CTC Complex, Nandambakkam, Chennai 600089",4.5,,,,,,,,,,,,,,,,,,
EVP Trade & Convention Centre,Trade & Convention Centre,Chembarambakkam,"Chennai-Bangalore Highway, Chembarambakkam, Chennai 600123",4.9,,,,,,,,,,,,,,,,,,
CERC Campus Exhibition Ground,Exhibition Ground,Thiruvanmiyur,"Anna Street, Radhakrishnan Nagar, Thiruvanmiyur, Chennai 600041",4.3,,,,,,,,,,,,,,,,,,
City Exhibition Centre,Exhibition Centre,Mount Road,"769 Anna Salai, Chennai 600002",4.4,,,,,,,,,,,,,,,,,,
Island Grounds,Fair & Exhibition Ground,Park Town,"Island Grounds, Anna Salai, Chennai 600009",4.1,,,,,,,,,,,,,,,,,,
A Painter's Garden Exhibition Hall,Art Exhibition Hall,T. Nagar,"16 Thanikachalam Road, T. Nagar, Chennai 600017",4.6,,,,,,,,,,,,,,,,,,
CAI Expo,Exhibition Centre,Chintadripet,"Raheja Complex, Narasingapuram Street, Chennai 600002",4.6,,,,,,,,,,,,,,,,,,
Big3 Exhibitions,Exhibition Centre,Kodambakkam,"34 Palayakaran Street, Kodambakkam, Chennai 600024",5.0,,,,,,,,,,,,,,,,,,
Chennai Trade Fair Services,Exhibition Services,Nandambakkam,"48 Mount Poonamallee Road, Nandambakkam, Chennai 600016",4.5,,,,,,,,,,,,,,,,,,
Chennai Convention Centre Marriage Hall,Convention & Exhibition Venue,Vettuvankeni,"82 East Coast Road, Vettuvankeni, Chennai 600115",4.2,,,,,,,,,,,,,,,,,,
,Contemporary Art,Injambakkam,,,1.0,Cholamandal Artists' Village,Private,,,,,,,,,,,,,,,
,Contemporary Art,Adyar,,,2.0,Forum Art Gallery,Private,,,,,,,,,,,,,,,
,Modern Art,Nungambakkam,,,3.0,Apparao Galleries,Private,,,,,,,,,,,,,,,
,Contemporary Art,Nungambakkam,,,4.0,Gallery Veda,Private,,,,,,,,,,,,,,,
,Fine Art,Egmore,,,5.0,Focus Art Gallery,Private,,,,,,,,,,,,,,,
,Fine Art,Teynampet,,,6.0,Artworld Sarala's Art Centre,Private,,,,,,,,,,,,,,,
,Contemporary Art,T. Nagar,,,7.0,The Faraway Tree Gallery,Private,,,,,,,,,,,,,,,
,Government Art Gallery,Greams Road,,,8.0,Lalit Kala Akademi,Government,,,,,,,,,,,,,,,
,Art Museum,Egmore,,,9.0,National Art Gallery,Government,,,,,,,,,,,,,,,
,Museum Gallery,Egmore,,,10.0,Contemporary Art Gallery,Government,,,,,,,,,,,,,,,
,Cultural Art Centre,Alwarpet,,,11.0,C.P. Art Centre,Private,,,,,,,,,,,,,,,
,Contemporary Art,Kotturpuram,,,12.0,VA Gallery,Private,,,,,,,,,,,,,,,
,Fine Art,Alwarpet,,,13.0,Vinyasa Art Gallery,Private,,,,,,,,,,,,,,,
,Fine Art,Chennai,,,14.0,Easel Art Gallery,Private,,,,,,,,,,,,,,,
,Modern Art,Chennai,,,15.0,LIOA Art Gallery,Private,,,,,,,,,,,,,,,
,Heritage Art,Chennai,,,16.0,Ambur House Art Gallery,Private,,,,,,,,,,,,,,,
,Cultural Gallery,Chennai,,,17.0,M.Rm.Rm. Cultural Foundation,Trust,,,,,,,,,,,,,,,
,Interactive Art,Injambakkam,,,18.0,Click Art Museum,Private,,,,,,,,,,,,,,,
,Heritage Art,Muthukadu,,,19.0,DakshinaChitra Heritage Museum,Private,,,,,,,,,,,,,,,
,Museum,Egmore,,,20.0,Government Museum Chennai,Government,,,,,,,,,,,,,,,
,Sculpture Gallery,Egmore,,,21.0,Bronze Gallery,Government,,,,,,,,,,,,,,,
,Commercial Gallery,Spencer Plaza,,,22.0,Chennai Art Gallery,Private,,,,,,,,,,,,,,,
,Home Art Gallery,Chennai,,,23.0,Art Houz,Private,,,,,,,,,,,,,,,
,Interactive Museum,Chennai,,,24.0,Live Art Museum,Private,,,,,,,,,,,,,,,
,Artist Studio,Chennai,,,25.0,VK Baraskar Artist & Gallery,Private,,,,,,,,,,,,,,,
,Cultural Art,Thiruvanmiyur,,,26.0,Kalakshetra Art Gallery,Government,,,,,,,,,,,,,,,
,Fine Art,Chennai,,,27.0,Dakshin Gallery,Private,,,,,,,,,,,,,,,
,Contemporary Art,Chennai,,,28.0,Indian Art Gallery,Private,,,,,,,,,,,,,,,
,Traditional Art,Chennai,,,29.0,South Indian Art Gallery,Private,,,,,,,,,,,,,,,
