Category,Sl_No,Name,District,Zone,Division,Area_ha,Notification_Details,Geological_Location,Type_of_Lake,Size,History
Bird Sanctuary,1,Vedanthangal Birds Sanctuary,Chengalpattu,,,30.000,"Section 26 (A) (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,2,Karikili Birds Sanctuary,Chengalpattu,,,61.210,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,3,Vettangudi birds Sanctuary,Sivagangai,,,38.400,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,4,Kanjirankulam Birds Sanctuary,Ramanathapuram,,,104.000,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,5,Chitrangudi Birds Sanctuary,Ramanathapuram,,,47.630,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,6,Udayamarthanda puram Birds Sanctuary,Tiruvarur,,,45.280,"Section 26 (A) (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,7,Vaduvoor birds Sanctuary,Tiruvarur,,,128.100,"Section 26 (A) (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,8,Koonthankulam Birds Sanctuary,Tirunelveli,,,129.000,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,9,Karaivetti Birds Sanctuary,Ariyalur,,,453.710,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,10,Vellode Birds Sanctuary,Erode,,,77.180,"Section 26 (A) (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,11,Melaselvanur-Kilaselvanur Birds Sanctuary,Ramanathapuram,,,593.080,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,12,Theerthangal Bird Sanctury,Ramanathapuram,,,29.290,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,13,Sakkarakottai Tank Birds Sanctuary,Ramanathapuram,,,230.490,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,14,Ossudu Lake Birds Sanctuary,Villupuram,,,331.785,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
Bird Sanctuary,15,Pulicat Lake Birds Sanctuary,Tiruvallur,,,15367.000,"Section 18 (1) of the Wildlife (Protection) Amendment Act, 2022",,,,
