Category,Spot Name,Area,Address,Latitude,Longitude
Lighthouse,Chennai Lighthouse,Marina Beach,Marina Beach Road Santhome Chennai Tamil Nadu 600004,13.0396,80.2795
Lighthouse,Fort St. George Old Lighthouse Site,Fort St. George,Fort St. George Chennai Tamil Nadu 600009,13.0817,80.2870
Lighthouse,Madras High Court Lighthouse Site,George Town,High Court Campus NSC Bose Road Chennai Tamil Nadu 600104,13.0878,80.2875

Viewpoint,Chennai Lighthouse Observation Deck,Marina Beach,Marina Beach Road Santhome Chennai,13.0396,80.2795
Viewpoint,Broken Bridge Viewpoint,Adyar,Broken Bridge Adyar Estuary Chennai,13.0067,80.2617
Viewpoint,Napier Bridge,Marina,Napier Bridge Chennai,13.0678,80.2870
Viewpoint,Adyar Eco Park Observation Deck,Adyar,Adyar Eco Park Greenways Road Chennai,13.0105,80.2587
Viewpoint,Muttukadu Boat House View,Muttukadu,East Coast Road Muttukadu Chennai,12.8279,80.2454
Viewpoint,Kasimedu Harbour View,Kasimedu,Kasimedu Fishing Harbour Chennai,13.1236,80.2982
Viewpoint,Pulicat Lake Viewpoint,Pulicat,Pulicat Lake Tamil Nadu,13.4212,80.3215
Viewpoint,Thiruvanmiyur Beach Rocks,Thiruvanmiyur,Thiruvanmiyur Beach Chennai,12.9847,80.2705
Viewpoint,Elliot's Beach Promenade,Besant Nagar,Elliot's Beach Besant Nagar Chennai,13.0003,80.2668

Sunrise Spot,Marina Beach,Triplicane,Marina Beach Chennai,13.0500,80.2824
Sunrise Spot,Elliot's Beach,Besant Nagar,Elliot's Beach Chennai,13.0003,80.2668
Sunrise Spot,Thiruvanmiyur Beach,Thiruvanmiyur,Thiruvanmiyur Beach Chennai,12.9847,80.2705
Sunrise Spot,Palavakkam Beach,Palavakkam,Palavakkam Beach Chennai,12.9597,80.2574
Sunrise Spot,Neelankarai Beach,Neelankarai,Neelankarai Beach Chennai,12.9495,80.2548
Sunrise Spot,Injambakkam Beach,Injambakkam,Injambakkam Beach Chennai,12.9166,80.2525
Sunrise Spot,Uthandi Beach,Uthandi,Uthandi Beach ECR Chennai,12.8672,80.2518
Sunrise Spot,Kovalam Beach,Kovalam,Kovalam Beach Chennai,12.7876,80.2527
Sunrise Spot,Ennore Beach,Ennore,Ennore Beach Chennai,13.2142,80.3206
Sunrise Spot,Kasimedu Beach,Kasimedu,Kasimedu Chennai,13.1230,80.2991
Sunrise Spot,Broken Bridge Beach,Adyar,Adyar Estuary Chennai,13.0067,80.2617
Sunrise Spot,Muttukadu Backwaters,Muttukadu,East Coast Road Chennai,12.8279,80.2454
Sunrise Spot,Pulicat Lake,Pulicat,Pulicat Tamil Nadu,13.4212,80.3215

Category,Spot Name,Area,Address,Latitude,Longitude
Sunset Spot,Marina Beach,Triplicane,Marina Beach Triplicane Chennai Tamil Nadu 600005,13.0500,80.2824
Sunset Spot,Elliot's Beach,Besant Nagar,Elliot's Beach Besant Nagar Chennai Tamil Nadu 600090,13.0003,80.2668
Sunset Spot,Thiruvanmiyur Beach,Thiruvanmiyur,Thiruvanmiyur Beach Chennai Tamil Nadu 600041,12.9847,80.2705
Sunset Spot,Kasimedu Fishing Harbour,Kasimedu,Kasimedu Fishing Harbour Chennai Tamil Nadu 600013,13.1236,80.2982
Sunset Spot,Broken Bridge,Adyar,Broken Bridge Adyar Chennai Tamil Nadu 600028,13.0067,80.2617
Sunset Spot,Muttukadu Backwaters,Muttukadu,East Coast Road Muttukadu Chennai Tamil Nadu 603112,12.8279,80.2454
Sunset Spot,Kovalam Beach,Kovalam,Kovalam Chennai Tamil Nadu 603112,12.7876,80.2527
Sunset Spot,Neelankarai Beach,Neelankarai,Neelankarai Chennai Tamil Nadu 600115,12.9495,80.2548
Sunset Spot,Palavakkam Beach,Palavakkam,Palavakkam Chennai Tamil Nadu 600041,12.9597,80.2574
Sunset Spot,Santhome Beach,Mylapore,Santhome High Road Chennai Tamil Nadu 600004,13.0316,80.2792

Iconic Landmark,Chennai Lighthouse,Marina Beach,Marina Beach Road Chennai Tamil Nadu 600004,13.0396,80.2795
Iconic Landmark,Fort St. George,George Town,Rajaji Salai Chennai Tamil Nadu 600009,13.0817,80.2870
Iconic Landmark,Ripon Building,Park Town,EVR Periyar Salai Chennai Tamil Nadu 600003,13.0825,80.2758
Iconic Landmark,Valluvar Kottam,Nungambakkam,Valluvar Kottam High Road Chennai Tamil Nadu 600034,13.0569,80.2425
Iconic Landmark,Kapaleeshwarar Temple,Mylapore,North Mada Street Chennai Tamil Nadu 600004,13.0339,80.2698
Iconic Landmark,San Thome Basilica,Santhome,Santhome High Road Chennai Tamil Nadu 600004,13.0338,80.2772
Iconic Landmark,Madras High Court,George Town,NSC Bose Road Chennai Tamil Nadu 600104,13.0878,80.2875
Iconic Landmark,Anna Memorial,Marina Beach,Kamarajar Salai Chennai Tamil Nadu 600005,13.0475,80.2820
Iconic Landmark,MGR Memorial,Marina Beach,Kamarajar Salai Chennai Tamil Nadu 600005,13.0483,80.2817
Iconic Landmark,Victory War Memorial,Fort St. George,Port Trust Chennai Tamil Nadu 600009,13.0860,80.2893
Iconic Landmark,Government Museum,Egmore,Pantheon Road Chennai Tamil Nadu 600008,13.0728,80.2576
Iconic Landmark,Napier Bridge,Marina,Napier Bridge Chennai Tamil Nadu 600005,13.0678,80.2870

Instagram Spot,Marina Beach Photo Point,Marina Beach,Marina Beach Chennai Tamil Nadu 600005,13.0510,80.2825
Instagram Spot,Chennai Lighthouse Sky Deck,Marina Beach,Marina Beach Road Chennai Tamil Nadu 600004,13.0396,80.2795
Instagram Spot,Broken Bridge,Adyar,Broken Bridge Chennai Tamil Nadu 600028,13.0067,80.2617
Instagram Spot,Karl Schmidt Memorial,Besant Nagar,Elliot's Beach Besant Nagar Chennai Tamil Nadu 600090,13.0008,80.2667
Instagram Spot,Napier Bridge,Marina,Napier Bridge Chennai Tamil Nadu 600005,13.0678,80.2870
Instagram Spot,Semmozhi Poonga,Teynampet,Cathedral Road Chennai Tamil Nadu 600086,13.0478,80.2542
Instagram Spot,Theosophical Society,Adyar,Theosophical Society Chennai Tamil Nadu 600020,13.0134,80.2593
Instagram Spot,Adyar Eco Park,Adyar,Greenways Road Chennai Tamil Nadu 600028,13.0105,80.2587
Instagram Spot,Phoenix Marketcity,Velachery,142 Velachery Main Road Chennai Tamil Nadu 600042,12.9909,80.2184
Instagram Spot,Express Avenue,Royapettah,Whites Road Chennai Tamil Nadu 600014,13.0602,80.2648
Instagram Spot,Besant Nagar Beach Walk,Besant Nagar,Elliot's Beach Chennai Tamil Nadu 600090,13.0003,80.2668
Instagram Spot,Kasimedu Harbour,Kasimedu,Kasimedu Chennai Tamil Nadu 600013,13.1236,80.2982
